trip_name,trip_color,title,category,start,end,description,departure,arrival,distance_m,driving_seconds,time_on_road_h,sleeping_address,dining_address,sightseeing_address,event_ref,linked_next_ref,photos
Alaska,#2563eb,On the way to Boise,driving,2026-07-02T21:00:00.000Z,2026-07-03T02:00:00.000Z,,"112, Bow Mountain Road","Creston, Sweetwater County",402539.4,16980.5,6,,,,1,3,
Alaska,#2563eb,Sleeping on the way to Boise,sleeping,2026-07-03T04:00:00.000Z,2026-07-03T12:00:00.000Z,,,,,,,,,,2,,
Alaska,#2563eb,Drive like hell to Boise,driving,2026-07-03T14:00:00.000Z,2026-07-04T00:00:00.000Z,,"Creston, Sweetwater County","Boise, Ada County",906908.3,33276.7,13,,,,3,5,
Alaska,#2563eb,Sleeping in Boise (or around),sleeping,2026-07-04T04:00:00.000Z,2026-07-04T12:00:00.000Z,location for dispersed to be found,,,,,,,,,4,,
Alaska,#2563eb,Drive like hell to Seatle,driving,2026-07-04T14:00:00.000Z,2026-07-05T02:00:00.000Z,,"Boise, Ada County","Seattle, King County",789936.2,32851.9,12,,,,5,12,
Alaska,#2563eb,Sleep in Seattle,sleeping,2026-07-05T05:00:00.000Z,2026-07-05T13:00:00.000Z,Find a cheap motel?,,,,,,,,,6,,
Alaska,#2563eb,Sleep in Vancouver Motel,sleeping,2026-07-06T04:00:00.000Z,2026-07-06T12:00:00.000Z,,,,,,,,,,7,,
Alaska,#2563eb,Explore Seattle & Eat,misc,2026-07-05T15:00:00.000Z,2026-07-05T20:00:00.000Z,,,,,,,,,,8,,
Alaska,#2563eb,Work,working,2026-07-06T13:00:00.000Z,2026-07-06T21:00:00.000Z,,,,,,,,,,9,,
Alaska,#2563eb,Discover Vancouver,sightseeing,2026-07-06T21:00:00.000Z,2026-07-07T00:00:00.000Z,,,,,,,,,,10,,
Alaska,#2563eb,Resto dans Seattle,misc,2026-07-05T02:00:00.000Z,2026-07-05T04:00:00.000Z,,,,,,,,,,11,,
Alaska,#2563eb,Reach Vancouver,driving,2026-07-05T21:00:00.000Z,2026-07-06T00:00:00.000Z,,"Seattle, King County","Vancouver, Metro Vancouver Regional District",226899.7,10785.7,3,,,,12,15,
Alaska,#2563eb,Resto à Vancouver,misc,2026-07-06T01:00:00.000Z,2026-07-06T03:00:00.000Z,,,,,,,,,,13,,
Alaska,#2563eb,Quick bite to eat (fastfood?),misc,2026-07-07T00:00:00.000Z,2026-07-07T00:30:00.000Z,,,,,,,,,,14,,
Alaska,#2563eb,Next stop: Whistler,driving,2026-07-07T01:00:00.000Z,2026-07-07T03:30:00.000Z,,"Vancouver, Metro Vancouver Regional District","Whistler, Squamish-Lillooet Regional District",124490.6,7503.1,2,,,,15,18,
Alaska,#2563eb,Dodo @ Whistler,sleeping,2026-07-07T04:00:00.000Z,2026-07-07T12:00:00.000Z,,,,,,,,,,16,,
Alaska,#2563eb,Boulot Boulot,working,2026-07-07T12:00:00.000Z,2026-07-07T20:00:00.000Z,,,,,,,,,,17,,
Alaska,#2563eb,Driver to Williams Lake,driving,2026-07-07T20:00:00.000Z,2026-07-07T23:00:00.000Z,,"Whistler, Squamish-Lillooet Regional District","Fountain Valley, Squamish-Lillooet Regional District",146235.1,9949.8,2,,,,18,21,
Alaska,#2563eb,Dodo at Fountain Valley,sleeping,2026-07-08T04:00:00.000Z,2026-07-08T12:00:00.000Z,,,,,,,,,,19,,
Alaska,#2563eb,Boulot Boulot,working,2026-07-08T13:00:00.000Z,2026-07-08T21:00:00.000Z,,,,,,,,,,20,,
Alaska,#2563eb,To Williams Lake,driving,2026-07-08T21:00:00.000Z,2026-07-09T01:00:00.000Z,,"Fountain Valley, Squamish-Lillooet Regional District","Williams Lake, Cariboo Regional District",254950.3,12434.5,4,,,,21,24,
Alaska,#2563eb,Dodo @ Williams Lake,sleeping,2026-07-09T04:00:00.000Z,2026-07-09T12:00:00.000Z,,,,,,,,,,22,,
Alaska,#2563eb,Boulot Boulot,working,2026-07-09T13:00:00.000Z,2026-07-09T21:00:00.000Z,,,,,,,,,,23,,
Alaska,#2563eb,To Prince George,driving,2026-07-09T21:00:00.000Z,2026-07-10T01:00:00.000Z,,"Williams Lake, Cariboo Regional District","Prince George, Regional District of Fraser-Fort George",241018,11535.7,3,,,,24,27,
Alaska,#2563eb,Dodo @ Prince George,sleeping,2026-07-10T04:00:00.000Z,2026-07-10T12:00:00.000Z,,,,,,,,,,25,,
Alaska,#2563eb,Boulot Boulot,working,2026-07-10T13:00:00.000Z,2026-07-10T21:00:00.000Z,,,,,,,,,,26,,
Alaska,#2563eb,To Tyhee Lake,driving,2026-07-10T21:00:00.000Z,2026-07-11T03:00:00.000Z,,"Prince George, Regional District of Fraser-Fort George","Tyhee Lake, Area A (Hudson Bay Mountain)",359421.6,17718.7,5,,,,27,29,
Alaska,#2563eb,Dodo @ Tyhee Lake,sleeping,2026-07-11T04:00:00.000Z,2026-07-11T12:00:00.000Z,,,,,,,,,,28,,
Alaska,#2563eb,Almost To Alaska !!!,driving,2026-07-11T14:00:00.000Z,2026-07-11T19:00:00.000Z,,"Tyhee Lake, Area A (Hudson Bay Mountain)","Stewart, British Columbia V0T 1W0, Canada",344018.8,17964.3,5,,,,29,31,
Alaska,#2563eb,Lunch at Stewart,misc,2026-07-11T19:00:00.000Z,2026-07-11T21:00:00.000Z,,,,,,,,,,30,,
Alaska,#2563eb,To Alaska !! Hyder !,driving,2026-07-11T21:00:00.000Z,2026-07-11T22:00:00.000Z,,"Stewart, British Columbia V0T 1W0, Canada","Hyder, Alaska",11959.5,1453.3,1,,,,31,,
Alaska,#2563eb,Discover Hyder,sightseeing,2026-07-11T22:00:00.000Z,2026-07-12T00:00:00.000Z,,,,,,,,,,32,,
Alaska,#2563eb,To Meziadin Lake,driving,2026-07-12T00:00:00.000Z,2026-07-12T02:00:00.000Z,,"Hyder, Alaska","Meziadin Lake Provincial Park, Meziadin Junction",75409.6,5318.4,1,,,,33,,
Alaska,#2563eb,Dodo at Meziadin,sleeping,2026-07-12T04:00:00.000Z,2026-07-12T12:00:00.000Z,,,,,,,,,,34,,
Alaska,#2563eb,Let's get on the Stewart-Cassiar,driving,2026-07-12T12:00:00.000Z,2026-07-12T21:00:00.000Z,@ Wheeler Lake,"Meziadin Lake Provincial Park, Meziadin Junction","59.690332, -129.147762",526337,27618.7,8,,,,35,38,
Alaska,#2563eb,Dodo @ the lake,sleeping,2026-07-13T04:00:00.000Z,2026-07-13T12:00:00.000Z,,,,,,,,,,36,,
Alaska,#2563eb,Lake activities ?,sightseeing,2026-07-12T21:15:00.000Z,2026-07-13T01:15:00.000Z,Double check if Lake Wheeler is good for that ?,,,,,,,,,37,,
Alaska,#2563eb,Drive to Chilkoot River,driving,2026-07-13T12:00:00.000Z,2026-07-13T21:00:00.000Z,,"59.690332, -129.147762","Skagway, Alaska",550961.7,27786.5,8,,,,38,43,
Alaska,#2563eb,Relax at Camp,blocked,2026-07-13T21:00:00.000Z,2026-07-14T02:00:00.000Z,,,,,,,,,,39,,
Alaska,#2563eb,Dodo near Chillkoot River,sleeping,2026-07-14T04:00:00.000Z,2026-07-14T12:00:00.000Z,,,,,,,,,,40,,
Alaska,#2563eb,Stuff @ Chillkoot (Glacier bay etc. TBD),sightseeing,2026-07-14T13:00:00.000Z,2026-07-14T23:00:00.000Z,,,,,,,,,,41,,
Alaska,#2563eb,Dodo near Chillkoot,sleeping,2026-07-15T04:00:00.000Z,2026-07-15T12:00:00.000Z,,,,,,,,,,42,,
Alaska,#2563eb,Drive a lot to Anchorage,driving,2026-07-15T12:00:00.000Z,2026-07-16T00:00:00.000Z,,"Skagway, Alaska","Northway, Unorganized Borough",721008.3,38068.6,10,,,,43,45,
Alaska,#2563eb,Dodo back in Alaska,sleeping,2026-07-16T04:00:00.000Z,2026-07-16T12:00:00.000Z,,,,,,,,,,44,,
Alaska,#2563eb,Finally to Anchorage,driving,2026-07-16T14:00:00.000Z,2026-07-17T00:00:00.000Z,,"Northway, Unorganized Borough","Anchorage, Alaska",603639.8,27832.8,9,,,,45,47,
Alaska,#2563eb,Motel in Anchorage,sleeping,2026-07-17T04:00:00.000Z,2026-07-17T12:00:00.000Z,,,,,,,,,,46,,
Alaska,#2563eb,To Kenai National Park,driving,2026-07-17T14:00:00.000Z,2026-07-17T17:00:00.000Z,,"Anchorage, Alaska",Seward Alaska,203884.6,9871.9,3,,,,47,50,
Alaska,#2563eb,Kenai Boat ride & Local activities,sightseeing,2026-07-17T17:00:00.000Z,2026-07-18T01:00:00.000Z,,,,,,,,,,48,,
Alaska,#2563eb,Dodo around Kenai,sleeping,2026-07-18T04:00:00.000Z,2026-07-18T12:00:00.000Z,,,,,,,,,,49,,
Alaska,#2563eb,To Talkeetna,driving,2026-07-18T14:00:00.000Z,2026-07-18T20:00:00.000Z,,Seward Alaska,"Talkeetna, Matanuska-Susitna Borough",378944.7,18617.2,6,,,,50,53,
Alaska,#2563eb,Relax & Local Activities,sightseeing,2026-07-18T20:00:00.000Z,2026-07-19T02:00:00.000Z,,,,,,,,,,51,,
Alaska,#2563eb,Dodo @ Talkeetna,sleeping,2026-07-19T04:00:00.000Z,2026-07-19T12:00:00.000Z,,,,,,,,,,52,,
Alaska,#2563eb,To Denali Ntl Park,driving,2026-07-19T14:00:00.000Z,2026-07-19T15:00:00.000Z,,"Talkeetna, Matanuska-Susitna Borough",Denali National Park,96387.1,4827.7,2,,,,53,56,
Alaska,#2563eb,Denali !!!,sightseeing,2026-07-19T17:00:00.000Z,2026-07-20T01:00:00.000Z,,,,,,,,,,54,,
Alaska,#2563eb,Dodo near Denali,sleeping,2026-07-20T04:00:00.000Z,2026-07-20T12:00:00.000Z,,,,,,,,,,55,,
Alaska,#2563eb,On the way back,driving,2026-07-20T14:00:00.000Z,2026-07-21T00:00:00.000Z,,Denali National Park,"Tok, AK",631396.3,29436.1,9,,,,56,58,
Alaska,#2563eb,Dodo @ Tok,sleeping,2026-07-21T04:00:00.000Z,2026-07-21T12:00:00.000Z,,,,,,,,,,57,,
Alaska,#2563eb,Destruction bay,driving,2026-07-21T14:00:00.000Z,2026-07-21T20:00:00.000Z,,"Tok, AK","Destruction Bay, Yukon",367197.9,18455.9,6,,,,58,60,
Alaska,#2563eb,Dodo @ Destruction Bay,sleeping,2026-07-22T04:00:00.000Z,2026-07-22T12:00:00.000Z,,,,,,,,,,59,,
Alaska,#2563eb,To Swan Lake,driving,2026-07-22T14:00:00.000Z,2026-07-23T00:00:00.000Z,,"Destruction Bay, Yukon","Upper Liard, Yukon",686345.3,33165.1,10,,,,60,62,
Alaska,#2563eb,Dodo,sleeping,2026-07-23T04:00:00.000Z,2026-07-23T12:00:00.000Z,,,,,,,,,,61,,
Alaska,#2563eb,To Fort Nelson,driving,2026-07-23T14:00:00.000Z,2026-07-23T23:00:00.000Z,,"Upper Liard, Yukon","Fort Nelson, Northern Rockies Regional Municipality",526382.7,28280.6,8,,,,62,64,
Alaska,#2563eb,Dodo,sleeping,2026-07-24T04:00:00.000Z,2026-07-24T12:00:00.000Z,,,,,,,,,,63,,
Alaska,#2563eb,To Sturgeon Lake,driving,2026-07-24T14:00:00.000Z,2026-07-25T00:00:00.000Z,,"Fort Nelson, Northern Rockies Regional Municipality","Sturgeon Lake, Municipal District of Greenview",676286.3,31493.8,10,,,,64,67,
Alaska,#2563eb,Dodo,sleeping,2026-07-25T04:00:00.000Z,2026-07-25T12:00:00.000Z,,,,,,,,,,65,,
Alaska,#2563eb,Dodo,sleeping,2026-07-26T04:00:00.000Z,2026-07-26T12:00:00.000Z,,,,,,,,,,66,,
Alaska,#2563eb,To Calgary,driving,2026-07-25T14:00:00.000Z,2026-07-26T00:00:00.000Z,,"Sturgeon Lake, Municipal District of Greenview","Calgary, Alberta",641436.7,28638,9,,,,67,69,
Alaska,#2563eb,Matinée à Calgary,sightseeing,2026-07-26T15:00:00.000Z,2026-07-26T19:00:00.000Z,,,,,,,,,,68,,
Alaska,#2563eb,On the road again,driving,2026-07-26T20:00:00.000Z,2026-07-26T23:00:00.000Z,,"Calgary, Alberta",Nobleford Alberta,184287.8,8456.3,3,,,,69,71,
Alaska,#2563eb,Dodo,sleeping,2026-07-27T04:00:00.000Z,2026-07-27T12:00:00.000Z,,,,,,,,,,70,,
Alaska,#2563eb,Back to the USA,driving,2026-07-27T22:00:00.000Z,2026-07-28T03:00:00.000Z,,Nobleford Alberta,"Great Falls, Cascade County",328191.3,13266.3,5,,,,71,73,
Alaska,#2563eb,Boulot,working,2026-07-27T14:00:00.000Z,2026-07-27T22:00:00.000Z,,,,,,,,,,72,,
Alaska,#2563eb,Heading back slowly,driving,2026-07-28T21:00:00.000Z,2026-07-29T00:00:00.000Z,,"Great Falls, Cascade County","Harlowton, mt",207543.8,8584.7,3,,,,73,74,
Alaska,#2563eb,Next,driving,2026-07-29T22:00:00.000Z,2026-07-30T02:00:00.000Z,,"Harlowton, mt",Forty Mile Colony Montana 59050,282970.3,11898.9,5,,,,74,75,
Alaska,#2563eb,Next,driving,2026-07-30T23:00:00.000Z,2026-07-31T03:00:00.000Z,,Forty Mile Colony Montana 59050,"Midwest, Natrona County",264827.7,10606.8,4,,,,75,76,
Alaska,#2563eb,Next,driving,2026-07-31T23:00:00.000Z,2026-08-01T02:00:00.000Z,,"Midwest, Natrona County","Glendo, Platte County",189329.5,7461.3,3,,,,76,77,
Alaska,#2563eb,Final stretch,driving,2026-08-01T15:00:00.000Z,2026-08-01T20:00:00.000Z,,"Glendo, Platte County","112 Bow Mountain Rd, Boulder, CO 80302",309402.8,12129.6,5,,,,77,,
